GSTIN,Invoice No,Inv Date,Product,Unit,HSN Code,Company,Batch No,Exp. Date,MRP,Qty,Purc Rate,Sale Rate,Vat %,GST Category
,00162533,16/10/2020,ADDITIONAL ITEM,1,2106,3M IN,-,28/12/2023,0.01,1,0.01,0.01,0.00,0% GST
,00163535,23/10/2020,ADDITIONAL ITEM,1,2106,3M IN,-,28/12/2023,0.01,1,0.01,0.01,0.00,0% GST
,00167651,23/11/2020,ADDITIONAL ITEM,1,2106,3M IN,-,28/12/2023,0.01,1,0.01,0.01,0.00,0% GST
,00177616,29/01/2021,ADDITIONAL ITEM,1,2106,3M IN,-,28/12/2023,0.01,1,0.01,0.01,0.00,0% GST
,00179096,08/02/2021,ADDITIONAL ITEM,1,2106,3M IN,-,28/12/2023,0.01,1,0.01,0.01,0.00,0% GST
,,/  /,1 AL 10,10 TAB,3004,FDC,EC5846,31/07/2023,5.55,3,4.44,5.55,0.00,12% GST
,EPL/6268,24/08/2020,1 AL SYRUP,30 ML,3004,FDC,080B085,31/01/2022,34.80,1,27.28,34.80,0.00,12% GST
,00643368,24/09/2020,1 Al 5Mg Tab,10,3004,FDC,070G025,28/06/2022,28.80,2,22.12,28.80,0.00,12% GST
,IDB20311494,09/02/2021,2 B 12,15C,3004,PI,PTT901,01/12/4022,237.60,1,186.33,237.60,0.00,12% GST
27AAHCS2250A1ZT,S/23862,08/05/2021,2 B 12,15C,3004,PI,PTT905,28/02/2023,237.60,2,169.71,237.60,12.00,12% GST
,,/  /,2 ML SYRINGE,2 ML,2106,BD,0331927,31/10/2025,12.00,7,9.60,12.00,0.00,5% GST
,V/17272,20/03/2021,2 ML SYRINGE,2 ML,2106,BD,1707502,30/06/2022,11.00,11,2.94,11.00,0.00,5% GST
,,/  /,3 PLY MASK,100 pc,2106,3M IN,pb12112,31/10/2022,400.00,1,320.00,400.00,0.00,5% GST
,,/  /,3M SURGICAL TAPE 1 M,1 M,3004,3M IN,RT3771,31/07/2023,60.00,1,48.00,60.00,0.00,18% GST
,,/  /,5 ML SYRINGE,5ML,2106,BD,0030519,31/01/2025,14.00,5,11.20,14.00,0.00,5% GST
,S/97142,25/03/2021,5 Mono 10Tab,10Tab,3004,OMEGA,ZD201010,30/09/2022,17.68,10,6.94,17.68,0.00,12% GST
,00154484,21/08/2020,50 FIT SOFGEL,10 CAP,2106,ERA P,0071019F,28/03/2021,152.60,1,119.64,152.60,0.00,18% GST
,,/  /,6XE DOTTED CONDOM CHOC,1,2106,KOYE,DD1906,31/03/2022,30.00,8,12.00,30.00,0.00,0% GST
,,/  /,6XE DOTTED CONDOM MINT,3PC,2106,KOYE,BD2010,31/01/2023,30.00,8,12.00,30.00,0.00,0% GST
,,/  /,6XE DOTTED CONDOM STAWBERY,3PC,2106,KOYE,FD1918,31/05/2022,30.00,8,12.00,30.00,0.00,0% GST
,EPL/6268,24/08/2020,7 LA SUSPENSION,200 ML,3004,FDC,080F014,31/05/2022,86.90,1,68.13,86.90,0.00,12% GST
,00707434,18/01/2021,7 LA SUSPENSION,200 ML,3004,FDC,080J099,28/09/2022,86.90,2,67.44,86.90,0.00,12% GST
27AAHCR3491G1Z5,RDD/1853,13/04/2021,7 LA SUSPENSION,200 ML,3004,FDC,081A021,31/12/2022,86.90,2,58.09,86.90,12.00,12% GST
,,/  /,A TO Z,15 TAB,2106,ALK,20441833,30/04/2022,105.00,1,84.00,105.00,0.00,18% GST
,EPL/62890,11/02/2021,A TO Z,15 TAB,2106,ALK,20290021,30/11/2022,125.00,1,100.00,125.00,0.00,18% GST
,EPL/78264,31/03/2021,A TO Z,15 TAB,2106,ALK,202931,30/09/2022,125.00,1,100.00,125.00,0.00,18% GST
27AAFFM7699Q1Z3,00762546,19/04/2021,A TO Z,15 TAB,2106,ALK,20442345,31/03/2022,105.00,4,71.19,105.00,18.00,18% GST
27AAFFM7699Q1Z3,00777895,15/05/2021,A TO Z,15 TAB,2106,ALK,20442749,30/04/2022,105.00,3,71.19,105.00,18.00,18% GST
27AAACE7630H1ZQ,EPL/21267,31/05/2021,A TO Z,15 TAB,2106,ALK,21230106,31/08/2022,125.00,5,84.75,125.00,18.00,18% GST
,EPL/64330,16/02/2021,A TO Z SYRUP,200 ML,2106,ALK,AZS20266GH,30/04/2022,146.00,4,103.08,146.00,0.00,18% GST
,00114177,01/10/2020,A.ROLL ON,10ML,3004,AMRUT,10092020,/  /,60.00,13,47.57,60.00,0.00,12% GST
,EPL/66522,23/02/2021,AB FLO,10 CAP,3004,LUPIN,013I20OA,31/08/2022,197.40,1,154.81,197.40,0.00,12% GST
,00746044,26/03/2021,AB PHYLLINE 100,10 CAP,3004,SUN,ESX1902A,30/09/2022,135.00,2,108.00,135.00,0.00,12% GST
27AAACE7630H1ZQ,EPL/3776,09/04/2021,AB PHYLLINE 100,10 CAP,3004,SUN,GTB0133A,30/11/2022,135.00,6,96.43,135.00,12.00,12% GST
,00625578,24/08/2020,AB PHYLLINE SYRUP,100 ML,3004,SUN,AB24174,31/07/2021,137.00,1,105.22,137.00,0.00,12% GST
,EPL/56275,22/01/2021,ABANA,60 TAB,3004,HIM,932000916,31/07/2023,115.00,3,86.80,115.00,0.00,12% GST
,R002775,11/11/2020,ABD SUSPENSION,10 ML,3004,INTAS,OASL004,28/06/2022,17.47,2,10.52,17.47,0.00,12% GST
,00194058,12/12/2020,ABDOMINAL BELT 36,PIECE,3006,IDEAL,RH 109,28/12/2024,665.00,1,333.93,665.00,0.00,0% GST
27AAFFM7699Q1Z3,00781647,25/05/2021,ABDOWELL SACHET,1GM,3004,LUPIN,WAF20E01,28/12/2021,495.00,10,335.59,495.00,12.00,12% GST
,R/9460,19/08/2020,ABHAYARISHTA,450 ML,3004,SANDU,GA89,/  /,188.00,1,133.31,188.00,0.00,5% GST
,00687514,12/12/2020,ABSOLUT 3G,10 TAB,3004,PHA,ATGP20045,28/06/2022,196.00,2,152.10,196.00,0.00,12% GST
,EPL/67885,27/02/2021,ABZORB POWDER,100 GM,3004,RAN,AB68179,30/06/2024,125.00,7,84.00,125.00,0.00,12% GST
,00740464,17/03/2021,ABZORB POWDER,100 GM,3004,RAN,AB68177,28/06/2024,125.00,3,82.30,125.00,0.00,12% GST
